ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
27,"2023-04-25 12:23:47,108",0x872b5ccace909bdedea10e1e3551b989,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
28,"2023-04-25 12:23:48,419",0xcf4ab604c6ab718ef9383e3fe606aca8,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
29,"2023-04-25 12:23:48,864",0x8dc4f1bbac973043d84360f3352b76ba,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
30,"2023-04-25 12:23:50,113",0x382aeec6f7a315b6233abc200a8673f5,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
31,"2023-04-25 12:23:51,442",0xfa25cbe40a35ba5180641560fe516148,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
32,"2023-04-25 12:23:52,642",0xce4828306b514f6e6de75662ad2c40a5,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
33,"2023-04-25 12:23:53,707",0x7711ae2622ecb12ead6379f051988419,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
34,"2023-04-25 12:23:54,190",0xcc81b5e8871d24cf4e80249bd1e49751,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
35,"2023-04-25 12:23:54,725",0x8f1d0ffc382f21ed1dd92bb6e76b5787,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
36,"2023-04-25 12:23:55,070",0xb4963bfe07c6023b4ff77f2c77767ded,Send Newsletter,Send Newsletter,"['user.firstname', 'user.lastname', 'address.street', 'address.number', 'address.postcode']",['newsletter'],['GDPR-6-1-a']
37,"2023-04-25 12:22:50,754",0xbbb906fa084f96e67c18fa8971eded98,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
38,"2023-04-25 12:22:51,209",0x6da7990ee42a5aaaa89850e4a6f205a9,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
39,"2023-04-25 12:22:51,725",0x9313a686b883f772c0c89ee6af703437,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
40,"2023-04-25 12:22:51,978",0x71a242cbecb1b55994e39e6aa2938494,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
41,"2023-04-25 12:22:52,230",0xce20f1240da32c61b46811349e7aeeb7,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
