ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
39,"2023-04-23 17:04:58,889",0x9b645ddfd0aa4986202a374c2b1367cd,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
40,"2023-04-23 17:04:59,237",0xdda275dcb1e00a1b8ed43c8dae9126ea,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
41,"2023-04-23 17:04:59,274",0xdda275dcb1e00a1b8ed43c8dae9126ea,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
42,"2023-04-23 17:04:59,529",0x4b733db4407b574583c15894e448d887,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
43,"2023-04-23 17:04:59,569",0x4b733db4407b574583c15894e448d887,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
44,"2023-04-23 17:05:00,071",0xed539f6044bd17bc8f8007baca4b3ecf,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
45,"2023-04-23 17:05:00,109",0xed539f6044bd17bc8f8007baca4b3ecf,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
46,"2023-04-23 17:05:00,279",0x661b4a2642c068273f9caba43fec90bc,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
47,"2023-04-23 17:05:00,302",0x661b4a2642c068273f9caba43fec90bc,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
48,"2023-04-23 17:05:00,783",0x3d599d67f9c04c108fe2e2ea7ebfd3a6,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
49,"2023-04-23 17:05:00,800",0x3d599d67f9c04c108fe2e2ea7ebfd3a6,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
50,"2023-04-23 17:05:01,283",0x1810c083366d4c3d25ae82ddea86bc94,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
51,"2023-04-23 17:05:01,331",0x1810c083366d4c3d25ae82ddea86bc94,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
52,"2023-04-23 17:05:01,649",0x4ac9b18b327357b9911b366f82bf053e,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
53,"2023-04-23 17:05:01,702",0x4ac9b18b327357b9911b366f82bf053e,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
54,"2023-04-23 17:05:02,135",0xc2939fd4dcc66b571f9d9799dd89d9ab,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
55,"2023-04-23 17:05:02,162",0xc2939fd4dcc66b571f9d9799dd89d9ab,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
56,"2023-04-23 17:05:02,640",0x2387f54ca33a923cb33a42fad369566c,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
57,"2023-04-23 17:05:02,672",0x2387f54ca33a923cb33a42fad369566c,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
58,"2023-04-23 17:05:02,813",0x7089c5ab541f3d72d8ff7fa264e0abd9,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
59,"2023-04-23 17:05:02,845",0x7089c5ab541f3d72d8ff7fa264e0abd9,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
60,"2023-04-23 17:05:03,293",0x3ee88e2973592823eaf173ed75c98168,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
61,"2023-04-23 17:05:03,346",0x3ee88e2973592823eaf173ed75c98168,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
62,"2023-04-23 17:05:03,643",0x923f5fe2515b2549d7bdaa4e8cc32ada,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
63,"2023-04-23 17:05:03,686",0x923f5fe2515b2549d7bdaa4e8cc32ada,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
64,"2023-04-23 17:05:04,076",0xd5bf9af983d696ce6241c4f3748ae97d,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
65,"2023-04-23 17:05:04,102",0xd5bf9af983d696ce6241c4f3748ae97d,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
66,"2023-04-23 17:05:04,599",0xb9fdb96350122762462514876b0baaa9,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
67,"2023-04-23 17:05:04,640",0xb9fdb96350122762462514876b0baaa9,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
68,"2023-04-23 17:05:04,885",0x637486b16e332149f8b0db24e72a5bb3,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
69,"2023-04-23 17:05:04,937",0x637486b16e332149f8b0db24e72a5bb3,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
70,"2023-04-23 17:05:05,057",0xd143f622dc00f0593c79859536271a9,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
71,"2023-04-23 17:05:05,090",0xd143f622dc00f0593c79859536271a9,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
72,"2023-04-23 17:05:05,414",0x323aad6ee2e342b2c5c0cb6e8bc8df40,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
73,"2023-04-23 17:05:05,455",0x323aad6ee2e342b2c5c0cb6e8bc8df40,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
74,"2023-04-23 17:05:05,850",0xc693ffd2faa624a33ac7832fa1c8dd38,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
75,"2023-04-23 17:05:05,889",0xc693ffd2faa624a33ac7832fa1c8dd38,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
76,"2023-04-23 17:05:06,153",0x5c1efaafc58fda4f30145fba89c98923,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
77,"2023-04-23 17:05:06,180",0x5c1efaafc58fda4f30145fba89c98923,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
78,"2023-04-23 17:05:06,491",0x3df421948e649168da8d40dc9366598c,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
79,"2023-04-23 17:05:06,515",0x3df421948e649168da8d40dc9366598c,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
80,"2023-04-23 17:05:06,739",0xe0448ee909f0ee519daa29739e49aef4,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
81,"2023-04-23 17:05:06,785",0xe0448ee909f0ee519daa29739e49aef4,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
82,"2023-04-23 17:05:07,150",0x5f7fc73c90fefeb54c1b62bf1a2368e8,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
83,"2023-04-23 17:05:07,186",0x5f7fc73c90fefeb54c1b62bf1a2368e8,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
84,"2023-04-23 17:05:07,686",0x90f05bf9149b051a1fd9001bab1fdcac,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
85,"2023-04-23 17:05:07,807",0x90f05bf9149b051a1fd9001bab1fdcac,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
86,"2023-04-23 17:05:07,939",0x995c8e6555787a843659b78a2de6c099,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
87,"2023-04-23 17:05:07,979",0x995c8e6555787a843659b78a2de6c099,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
88,"2023-04-23 17:05:08,184",0x4ab5de0530d4af8cf9ecec006959d261,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
89,"2023-04-23 17:05:08,217",0x4ab5de0530d4af8cf9ecec006959d261,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
90,"2023-04-23 17:05:08,723",0x100312ff19b57ca3b4a4a55a62e73199,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
91,"2023-04-23 17:05:08,756",0x100312ff19b57ca3b4a4a55a62e73199,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
